dtrace: system integrity protection is on, some features will not be available
	PID/THRD  SYSCALL(args) 		 = return
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
 3470/0x68a03:  fork()		 = 0 0
 3470/0x68a03:  openat(0x3, "System/Cryptexes/OS\0", 0x100000, 0x0)		 = 4 0
 3470/0x68a03:  dup(0x4, 0x0, 0x0)		 = 5 0
 3470/0x68a03:  fstatat64(0x4, 0x7FF7B206FC51, 0x7FF7B2070050)		 = 0 0
 3470/0x68a03:  openat(0x4, "System/Library/dyld/\0", 0x100000, 0x0)		 = 6 0
 3470/0x68a03:  fcntl(0x6, 0x32, 0x7FF7B206FCE0)		 = 0 0
 3470/0x68a03:  dup(0x6, 0x0, 0x0)		 = 7 0
 3470/0x68a03:  dup(0x5, 0x0, 0x0)		 = 8 0
 3470/0x68a03:  close(0x3)		 = 0 0
 3470/0x68a03:  close(0x5)		 = 0 0
 3470/0x68a03:  close(0x4)		 = 0 0
 3470/0x68a03:  close(0x6)		 = 0 0
 3470/0x68a03:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B20708B0)		 = 0 0
 3470/0x68a03:  shared_region_check_np(0x7FF7B20709B8, 0x0, 0x0)		 = 0 0
 3470/0x68a03:  fsgetpath(0x7FF7B2070B60, 0x400, 0x7FF7B2070AEC)		 = 83 0
 3470/0x68a03:  fcntl(0x8, 0x32, 0x7FF7B2070B60)		 = 0 0
 3470/0x68a03:  close(0x8)		 = 0 0
 3470/0x68a03:  close(0x7)		 = 0 0
 3470/0x68a03:  stat64("/Users/sedimav/Desktop/\320\236\320\241/LAB1/parent\0", 0x7FF7B20706D0, 0x0)		 = 0 0
 3470/0x68a03:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/parent\0", 0x0, 0x0)		 = 3 0
 3470/0x68a03:  mmap(0x0, 0x2340, 0x1, 0x40002, 0x3, 0x0)		 = 0x10DE91000 0
 3470/0x68a03:  fcntl(0x3, 0x32, 0x7FF7B20707E0)		 = 0 0
 3470/0x68a03:  munmap(0x10DE91000, 0x2340)		 = 0 0
 3470/0x68a03:  close(0x3)		 = 0 0
 3470/0x68a03:  stat64("/Users/sedimav/Desktop/\320\236\320\241/LAB1/parent\0", 0x7FF7B2070C40, 0x0)		 = 0 0
 3470/0x68a03:  stat64("/usr/lib/libSystem.B.dylib\0", 0x7FF7B206FBF0, 0x0)		 = -1 2
 3470/0x68a03:  stat64("/System/Volumes/Preboot/Cryptexes/OS/usr/lib/libSystem.B.dylib\0", 0x7FF7B206FBA0, 0x0)		 = -1 2
 3470/0x68a03:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/parent\0", 0x0, 0x0)		 = 3 0
 3470/0x68a03:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B206DA50)		 = 0 0
 3470/0x68a03:  map_with_linking_np(0x7FF7B206D9F0, 0x1, 0x7FF7B206DA20)		 = -1 22
 3470/0x68a03:  close(0x3)		 = 0 0
 3470/0x68a03:  mprotect(0x10DE8F000, 0x1000, 0x1)		 = 0 0
 3470/0x68a03:  getfsstat64(0x0, 0x0, 0x2)		 = 11 0
 3470/0x68a03:  getfsstat64(0x10DEB1060, 0x5D28, 0x2)		 = 11 0
 3470/0x68a03:  getattrlist("/\0", 0x7FF7B206D2B0, 0x7FF7B206D220)		 = 0 0
 3470/0x68a03:  open("/dev/dtracehelper\0", 0x2, 0x0)		 = 3 0
 3470/0x68a03:  ioctl(0x3, 0x80086804, 0x7FF7B206D198)		 = 0 0
 3470/0x68a03:  close(0x3)		 = 0 0
 3470/0x68a03:  shared_region_check_np(0xFFFFFFFFFFFFFFFF, 0x0, 0x0)		 = 0 0
 3470/0x68a03:  access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 2
 3470/0x68a03:  bsdthread_register(0x7FF811B03848, 0x7FF811B03834, 0x2000)		 = 1073742303 0
 3470/0x68a03:  getpid(0x0, 0x0, 0x0)		 = 3470 0
 3470/0x68a03:  shm_open(0x7FF811996CE1, 0x0, 0x11995121)		 = 3 0
 3470/0x68a03:  fstat64(0x3, 0x7FF7B206D930, 0x0)		 = 0 0
 3470/0x68a03:  mmapdtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1719 (ID 177: syscall::read:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 1717 (ID 179: syscall::write:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 1719 (ID 177: syscall::read:return): invalid kernel access in action #13 at DIF offset 68
dtrace: error on enabled probe ID 1694 (ID 289: syscall::execve:return): invalid address (0x10de8e78c) in action #12 at DIF offset 12
dtrace: error on enabled probe ID 1694 (ID 289: syscall::execve:return): invalid address (0x10de8e78c) in action #12 at DIF offset 12
(0x0, 0x7000, 0x1, 0x40001, 0x3, 0x0)		 = 0x10DE93000 0
 3470/0x68a03:  close(0x3)		 = 0 0
 3470/0x68a03:  csops(0xD8E, 0x0, 0x7FF7B206DA64)		 = 0 0
 3470/0x68a03:  ioctl(0x2, 0x4004667A, 0x7FF7B206D9F4)		 = -1 25
 3470/0x68a03:  ioctl(0x2, 0x40487413, 0x7FF7B206D9F8)		 = -1 25
 3470/0x68a03:  mprotect(0x10DE9F000, 0x1000, 0x0)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEA6000, 0x1000, 0x0)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEA7000, 0x1000, 0x0)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEAE000, 0x1000, 0x0)		 = 0 0
 3470/0x68a03:  mprotect(0x10DE9A000, 0xC8, 0x1)		 = 0 0
 3470/0x68a03:  mprotect(0x10DE9A000, 0xC8, 0x3)		 = 0 0
 3470/0x68a03:  mprotect(0x10DE9A000, 0xC8, 0x1)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEAF000, 0x1000, 0x1)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEB0000, 0xC8, 0x1)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEB0000, 0xC8, 0x3)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEB0000, 0xC8, 0x1)		 = 0 0
 3470/0x68a03:  mprotect(0x10DE9A000, 0xC8, 0x3)		 = 0 0
 3470/0x68a03:  mprotect(0x10DE9A000, 0xC8, 0x1)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEAF000, 0x1000, 0x3)		 = 0 0
 3470/0x68a03:  mprotect(0x10DEAF000, 0x1000, 0x1)		 = 0 0
 3470/0x68a03:  issetugid(0x0, 0x0, 0x0)		 = 0 0
 3470/0x68a03:  getentropy(0x7FF7B206D0C0, 0x20, 0x0)		 = 0 0
 3470/0x68a03:  getattrlist("/Users/sedimav/Desktop/\320\236\320\241/LAB1/parent\0", 0x7FF7B206D8F0, 0x7FF7B206D90C)		 = 0 0
 3470/0x68a03:  access("/Users/sedimav/Desktop/\320\236\320\241/LAB1\0", 0x4, 0x0)		 = 0 0
 3470/0x68a03:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1\0", 0x0, 0x0)		 = 3 0
 3470/0x68a03:  fstat64(0x3, 0x7F7DDB704440, 0x0)		 = 0 0
 3470/0x68a03:  csrctl(0x0, 0x7FF7B206DAFC, 0x4)		 = -1 1
 3470/0x68a03:  fgetattrlist(0x3, 0x7FF7B206DBB0, 0x7FF7B206DB10)		 = 0 0
 3470/0x68a03:  __mac_syscall(0x7FF81F0EFD45, 0x2, 0x7FF7B206DB10)		 = 0 0
 3470/0x68a03:  fcntl(0x3, 0x32, 0x7FF7B206D800)		 = 0 0
 3470/0x68a03:  close(0x3)		 = 0 0
 3470/0x68a03:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/Info.plist\0", 0x0, 0x0)		 = -1 2
 3470/0x68a03:  proc_info(0x2, 0xD8E, 0xD)		 = 64 0
 3470/0x68a03:  csops_audittoken(0xD8E, 0x10, 0x7FF7B206DB20)		 = -1 22
 3470/0x68a03:  pipe(0x0, 0x0, 0x0)		 = 3 0
 3470/0x68a03:  pipe(0x0, 0x0, 0x0)		 = 5 0
 3470/0x68a03:  fork()		 = 3471 0
 3471/0x68a0a:  fork()		 = 0 0
 3471/0x68a0a:  thread_selfid(0x0, 0x0, 0x0)		 = 428554 0
 3471/0x68a0a:  bsdthread_register(0x7FF811B03848, 0x7FF811B03834, 0x2000)		 = -1 22
 3471/0x68a0a:  mprotect(0x10DEB0000, 0xC8, 0x3)		 = 0 0
 3471/0x68a0a:  mprotect(0x10DEB0000, 0xC8, 0x1)		 = 0 0
 3471/0x68a0a:  close(0x4)		 = 0 0
 3471/0x68a0a:  close(0x5)		 = 0 0
 3471/0x68a0a:  close(0x6)		 = 0 0
 3470/0x68a03:  fork()		 = 3472 0
 3471/0x68a0a:  dup2(0x3, 0x0, 0x0)		 = 0 0
 3471/0x68a0a:  close(0x3)		 = 0 0
 3472/0x68a0b:  fork()		 = 0 0
 3472/0x68a0b:  thread_selfid(0x0, 0x0, 0x0)		 = 428555 0
 3470/0x68a03:  close(0x3)		 = 0 0
 3472/0x68a0b:  bsdthread_register(0x7FF811B03848, 0x7FF811B03834, 0x2000)		 = -1 22
 3470/0x68a03:  close(0x5)		 = 0 0
 3472/0x68a0b:  mprotect(0x10DEB0000, 0xC8, 0x3)		 = 0 0
 3472/0x68a0b:  mprotect(0x10DEB0000, 0xC8, 0x1)		 = 0 0
 3470/0x68a03:  close(0x4)		 = 0 0
 3470/0x68a03:  close(0x6)		 = 0 0
 3472/0x68a0b:  close(0x6)		 = 0 0
 3472/0x68a0b:  close(0x3)		 = 0 0
 3472/0x68a0b:  close(0x4)		 = 0 0
 3472/0x68a0b:  dup2(0x5, 0x0, 0x0)		 = 0 0
 3472/0x68a0b:  close(0x5)		 = 0 0
 3471/0x68a0c:  fork()		 = 0 0
 3471/0x68a0c:  mprotect(0x114C8A000, 0x7000, 0x1)		 = 0 0
 3471/0x68a0c:  thread_selfid(0x0, 0x0, 0x0)		 = 428556 0
 3471/0x68a0c:  fsgetpath(0x7FF7B9BDA3F0, 0x400, 0x7FF7B9BDA840)		 = 14 0
 3471/0x68a0c:  shared_region_check_np(0x7FF7B9BDA9E8, 0x0, 0x0)		 = 0 0
 3471/0x68a0c:  getpid(0x0, 0x0, 0x0)		 = 3471 0
 3471/0x68a0c:  csrctl(0x0, 0x7FF7B9BDA39C, 0x4)		 = -1 1
 3471/0x68a0c:  proc_info(0xF, 0xD8F, 0x0)		 = 0 0
 3471/0x68a0c:  thread_selfid(0x0, 0x0, 0x0)		 = 428556 0
 3471/0x68a0c:  fsgetpath(0x7FF7B9BDA3F0, 0x400, 0x7FF7B9BDA840)		 = 14 0
 3471/0x68a0c:  shared_region_check_np(0x7FF7B9BDA9E8, 0x0, 0x0)		 = 0 0
 3472/0x68a0d:  fork()		 = 0 0
 3471/0x68a0c:  getpidtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
d(0x0, 0x0, 0x0)		 = 3471 0
 3472/0x68a0d:  mprotect(0x109751000, 0x7000, 0x1)		 = 0 0
 3472/0x68a0d:  thread_selfid(0x0, 0x0, 0x0)		 = 428557 0
 3472/0x68a0d:  fsgetpath(0x7FF7B7B063F0, 0x400, 0x7FF7B7B06840)		 = 14 0
 3471/0x68a0c:  munmap(0x114BEC000, 0x9E000)		 = 0 0
 3472/0x68a0d:  shared_region_check_np(0x7FF7B7B069E8, 0x0, 0x0)		 = 0 0
 3471/0x68a0c:  munmap(0x114C8A000, 0x7000)		 = 0 0
 3471/0x68a0c:  munmap(0x114C91000, 0x22000)		 = 0 0
 3471/0x68a0c:  munmap(0x114CB3000, 0x4000)		 = 0 0
 3471/0x68a0c:  munmap(0x114CB7000, 0x0)		 = -1 22
 3471/0x68a0c:  munmap(0x114CB7000, 0x54000)		 = 0 0
 3472/0x68a0d:  getpid(0x0, 0x0, 0x0)		 = 3472 0
 3471/0x68a0c:  open(".\0", 0x100000, 0x0)		 = 3 0
 3471/0x68a0c:  fcntl(0x3, 0x32, 0x7FF7B9BD9B30)		 = 0 0
 3471/0x68a0c:  close(0x3)		 = 0 0
 3471/0x68a0c:  fsgetpath(0x7FF7B9BD9B40, 0x400, 0x7FF7B9BD9B28)		 = 39 0
 3472/0x68a0d:  csrctl(0x0, 0x7FF7B7B0639C, 0x4)		 = -1 1
 3471/0x68a0c:  fsgetpath(0x7FF7B9BD9B40, 0x400, 0x7FF7B9BD9B28)		 = 14 0
 3471/0x68a0c:  csrctl(0x0, 0x7FF7B9BD9F4C, 0x4)		 = -1 1
 3471/0x68a0c:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B9BD9D90)		 = 0 0
 3471/0x68a0c:  csrctl(0x0, 0x7FF7B9BD9F4C, 0x4)		 = -1 1
 3471/0x68a0c:  __mac_syscall(0x7FF8117BEF76, 0x5A, 0x7FF7B9BD9EE0)		 = 0 0
 3472/0x68a0d:  proc_info(0xF, 0xD90, 0x0)		 = 0 0
 3471/0x68a0c:  open("/\0", 0x20100000, 0x0)		 = 3 0
 3472/0x68a0d:  thread_selfid(0x0, 0x0, 0x0)		 = 428557 0
 3471/0x68a0c:  openat(0x3, "System/Cryptexes/OS\0", 0x100000, 0x0)		 = 4 0
 3471/0x68a0c:  dup(0x4, 0x0, 0x0)		 = 5 0
 3472/0x68a0d:  fsgetpath(0x7FF7B7B063F0, 0x400, 0x7FF7B7B06840)		 = 14 0
 3471/0x68a0c:  fstatat64(0x4, 0x7FF7B9BD8C71, 0x7FF7B9BD9070)		 = 0 0
 3472/0x68a0d:  shared_region_check_np(0x7FF7B7B069E8, 0x0, 0x0)		 = 0 0
 3471/0x68a0c:  openat(0x4, "System/Library/dyld/\0", 0x100000, 0x0)		 = 6 0
 3471/0x68a0c:  fcntl(0x6, 0x32, 0x7FF7B9BD8D00)		 = 0 0
 3471/0x68a0c:  dup(0x6, 0x0, 0x0)		 = 7 0
 3472/0x68a0d:  getpid(0x0, 0x0, 0x0)		 = 3472 0
 3471/0x68a0c:  dup(0x5, 0x0, 0x0)		 = 8 0
 3471/0x68a0c:  close(0x3)		 = 0 0
 3471/0x68a0c:  close(0x5)		 = 0 0
 3471/0x68a0c:  close(0x4)		 = 0 0
 3471/0x68a0c:  close(0x6)		 = 0 0
 3471/0x68a0c:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B9BD98D0)		 = 0 0
 3471/0x68a0c:  shared_region_check_np(0x7FF7B9BD99D8, 0x0, 0x0)		 = 0 0
 3471/0x68a0c:  fsgetpath(0x7FF7B9BD9B80, 0x400, 0x7FF7B9BD9B0C)		 = 83 0
 3472/0x68a0d:  munmap(0x1096B3000, 0x9E000)		 = 0 0
 3471/0x68a0c:  fcntl(0x8, 0x32, 0x7FF7B9BD9B80)		 = 0 0
 3471/0x68a0c:  close(0x8)		 = 0 0
 3472/0x68a0d:  munmap(0x109751000, 0x7000)		 = 0 0
 3471/0x68a0c:  close(0x7)		 = 0 0
 3472/0x68a0d:  munmap(0x109758000, 0x22000)		 = 0 0
 3472/0x68a0d:  munmap(0x10977A000, 0x4000)		 = 0 0
 3472/0x68a0d:  munmap(0x10977E000, 0x0)		 = -1 22
 3472/0x68a0d:  munmap(0x10977E000, 0x54000)		 = 0 0
 3471/0x68a0c:  stat64("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x7FF7B9BD96F0, 0x0)		 = 0 0
 3471/0x68a0c:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x0, 0x0)		 = 3 0
 3472/0x68a0d:  open(".\0", 0x100000, 0x0)		 = 3 0
 3471/0x68a0c:  mmap(0x0, 0x2290, 0x1, 0x40002, 0x3, 0x0)		 = 0x106328000 0
 3472/0x68a0d:  fcntl(0x3, 0x32, 0x7FF7B7B05B30)		 = 0 0
 3472/0x68a0d:  close(0x3)		 = 0 0
 3471/0x68a0c:  fcntl(0x3, 0x32, 0x7FF7B9BD9800)		 = 0 0
 3472/0x68a0d:  fsgetpath(0x7FF7B7B05B40, 0x400, 0x7FF7B7B05B28)		 = 39 0
 3471/0x68a0c:  munmap(0x106328000, 0x2290)		 = 0 0
 3471/0x68a0c:  close(0x3)		 = 0 0
 3472/0x68a0d:  fsgetpath(0x7FF7B7B05B40, 0x400, 0x7FF7B7B05B28)		 = 14 0
 3471/0x68a0c:  stat64("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x7FF7B9BD9C60, 0x0)		 = 0 0
 3472/0x68a0d:  csrctl(0x0, 0x7FF7B7B05F4C, 0x4)		 = -1 1
 3472/0x68a0d:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B7B05D90)		 = 0 0
 3472/0x68a0d:  csrctl(0x0, 0x7FF7B7B05F4C, 0x4)		 = -1 1
 3471/0x68a0c:  stat64("/usr/lib/libSystem.B.dylib\0", 0x7FF7B9BD8C10, 0x0)		 = -1 2
 3471/0x68a0c:  stat64("/System/Volumes/Preboot/Cryptexes/OS/usr/lib/libSystem.B.dylib\0", 0x7FF7B9BD8BC0, 0x0)		 = -1 2
 3472/0x68a0d:  __mac_syscall(0x7FFdtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
dtrace: error on enabled probe ID 1747 (ID 575: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
8117BEF76, 0x5A, 0x7FF7B7B05EE0)		 = 0 0
 3472/0x68a0d:  open("/\0", 0x20100000, 0x0)		 = 3 0
 3472/0x68a0d:  openat(0x3, "System/Cryptexes/OS\0", 0x100000, 0x0)		 = 4 0
 3472/0x68a0d:  dup(0x4, 0x0, 0x0)		 = 5 0
 3472/0x68a0d:  fstatat64(0x4, 0x7FF7B7B04C71, 0x7FF7B7B05070)		 = 0 0
 3472/0x68a0d:  openat(0x4, "System/Library/dyld/\0", 0x100000, 0x0)		 = 6 0
 3472/0x68a0d:  fcntl(0x6, 0x32, 0x7FF7B7B04D00)		 = 0 0
 3472/0x68a0d:  dup(0x6, 0x0, 0x0)		 = 7 0
 3472/0x68a0d:  dup(0x5, 0x0, 0x0)		 = 8 0
 3472/0x68a0d:  close(0x3)		 = 0 0
 3472/0x68a0d:  close(0x5)		 = 0 0
 3472/0x68a0d:  close(0x4)		 = 0 0
 3472/0x68a0d:  close(0x6)		 = 0 0
 3472/0x68a0d:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B7B058D0)		 = 0 0
 3472/0x68a0d:  shared_region_check_np(0x7FF7B7B059D8, 0x0, 0x0)		 = 0 0
 3472/0x68a0d:  fsgetpath(0x7FF7B7B05B80, 0x400, 0x7FF7B7B05B0C)		 = 83 0
 3472/0x68a0d:  fcntl(0x8, 0x32, 0x7FF7B7B05B80)		 = 0 0
 3472/0x68a0d:  close(0x8)		 = 0 0
 3472/0x68a0d:  close(0x7)		 = 0 0
 3472/0x68a0d:  stat64("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x7FF7B7B056F0, 0x0)		 = 0 0
 3472/0x68a0d:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x0, 0x0)		 = 3 0
 3472/0x68a0d:  mmap(0x0, 0x2290, 0x1, 0x40002, 0x3, 0x0)		 = 0x1083FC000 0
 3472/0x68a0d:  fcntl(0x3, 0x32, 0x7FF7B7B05800)		 = 0 0
 3472/0x68a0d:  munmap(0x1083FC000, 0x2290)		 = 0 0
 3472/0x68a0d:  close(0x3)		 = 0 0
 3472/0x68a0d:  stat64("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x7FF7B7B05C60, 0x0)		 = 0 0
 3471/0x68a0c:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x0, 0x0)		 = 3 0
 3472/0x68a0d:  stat64("/usr/lib/libSystem.B.dylib\0", 0x7FF7B7B04C10, 0x0)		 = -1 2
 3471/0x68a0c:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B9BD6A70)		 = 0 0
 3472/0x68a0d:  stat64("/System/Volumes/Preboot/Cryptexes/OS/usr/lib/libSystem.B.dylib\0", 0x7FF7B7B04BC0, 0x0)		 = -1 2
 3471/0x68a0c:  map_with_linking_np(0x7FF7B9BD6A40, 0x1, 0x7FF7B9BD6A70)		 = -1 22
 3471/0x68a0c:  close(0x3)		 = 0 0
 3471/0x68a0c:  mprotect(0x106326000, 0x1000, 0x1)		 = 0 0
 3471/0x68a0c:  getfsstat64(0x0, 0x0, 0x2)		 = 11 0
 3471/0x68a0c:  getfsstat64(0x106348060, 0x5D28, 0x2)		 = 11 0
 3471/0x68a0c:  getattrlist("/\0", 0x7FF7B9BD62D0, 0x7FF7B9BD6240)		 = 0 0
 3471/0x68a0c:  open("/dev/dtracehelper\0", 0x2, 0x0)		 = 3 0
 3472/0x68a0d:  open("/Users/sedimav/Desktop/\320\236\320\241/LAB1/child\0", 0x0, 0x0)		 = 3 0
 3472/0x68a0d:  __mac_syscall(0x7FF8117C20D6, 0x2, 0x7FF7B7B02A70)		 = 0 0
 3472/0x68a0d:  map_with_linking_np(0x7FF7B7B02A40, 0x1, 0x7FF7B7B02A70)		 = -1 22
 3472/0x68a0d:  close(0x3)		 = 0 0
 3472/0x68a0d:  mprotect(0x1083FA000, 0x1000, 0x1)		 = 0 0
 3472/0x68a0d:  getfsstat64(0x0, 0x0, 0x2)		 = 11 0
 3472/0x68a0d:  getfsstat64(0x10841C060, 0x5D28, 0x2)		 = 11 0
 3472/0x68a0d:  getattrlist("/\0", 0x7FF7B7B022D0, 0x7FF7B7B02240)		 = 0 0
 3471/0x68a0c:  ioctl(0x3, 0x80086804, 0x7FF7B9BD61B8)		 = 0 0
 3471/0x68a0c:  close(0x3)		 = 0 0
 3471/0x68a0c:  shared_region_check_np(0xFFFFFFFFFFFFFFFF, 0x0, 0x0)		 = 0 0
 3472/0x68a0d:  open("/dev/dtracehelper\0", 0x2, 0x0)		 = 3 0
 3471/0x68a0c:  access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 2
 3471/0x68a0c:  bsdthread_register(0x7FF811B03848, 0x7FF811B03834, 0x2000)		 = 1073742303 0
 3471/0x68a0c:  getpid(0x0, 0x0, 0x0)		 = 3471 0
 3471/0x68a0c:  shm_open(0x7FF811996CE1, 0x0, 0x11995121)		 = 3 0
 3471/0x68a0c:  fstat64(0x3, 0x7FF7B9BD6950, 0x0)		 = 0 0
 3471/0x68a0c:  mmap(0x0, 0x7000, 0x1, 0x40001, 0x3, 0x0)		 = 0x10632A000 0
 3471/0x68a0c:  close(0x3)		 = 0 0
 3471/0x68a0c:  csops(0xD8F, 0x0, 0x7FF7B9BD6A84)		 = 0 0
 3471/0x68a0c:  ioctl(0x2, 0x4004667A, 0x7FF7B9BD6A14)		 = -1 25
 3471/0x68a0c:  ioctl(0x2, 0x40487413, 0x7FF7B9BD6A18)		 = -1 25
 3472/0x68a0d:  ioctl(0x3, 0x80086804, 0x7FF7B7B021B8)		 = 0 0
 3472/0x68a0d:  close(0x3)		 = 0 0
 3471/0x68a0c:  mprotect(0x106336000, 0x1000, 0x0)		 = 0 0
